Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SPT,"Sprout Social, Inc",48.33,$2.46B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spt
SFM,"Sprouts Farmers Market, Inc.",20.315,$2.4B,2013,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/sfm
SPRB,"Spruce Biosciences, Inc.",18,$417.85M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sprb
SPSC,"SPS Commerce, Inc.",91,$3.21B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spsc
SRAX,"SRAX, Inc.",2.88,$45.31M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/srax
SSNC,"SS&C Technologies Holdings, Inc.",64.47,$16.61B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ssnc
SSRM,SSR Mining Inc.,20.59,$4.51B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ssrm
STAA,STAAR Surgical Company,79.77,$3.65B,n/a,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/staa
SRAC,Stable Road Acquisition Corp.,10.15,$224.39M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/srac
SRACU,Stable Road Acquisition Corp.,11.1,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracu
SRACW,Stable Road Acquisition Corp.,1.8572,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracw
STAF,"Staffing 360 Solutions, Inc.",1.115,$10.39M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/staf
STMP,Stamps.com Inc.,224.27,$3.94B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stmp
STND,Standard AVB Financial Corp.,32.72,$153.12M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/stnd
SBLK,Star Bulk Carriers Corp.,6.61,$635.01M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblk
SBLKZ,Star Bulk Carriers Corp.,25.5,n/a,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblkz
SVAC,Starboard Value Acquisition Corp.,9.75,$495.04M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/svac
SVACU,Starboard Value Acquisition Corp.,10,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/svacu
SVACW,Starboard Value Acquisition Corp.,1.32,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/svacw
SBUX,Starbucks Corporation,90.65,$106.36B,1992,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/sbux
STFC,State Auto Financial Corporation,12.18,$533.94M,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/stfc
MITO,Stealth BioTherapeutics Corp.,1.32,$65.47M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mito
